sp_code,site,fire,trt,height,leaf_area,SLA,LDMC,stom_length,stom_den,SPI,N,C,CN,C13,C3_C4,Growth_form,Habit
BOUGRA,konza,1,grazed,46,1.988,159.04,0.494594595,24.4,90.37037037,4.464416883,1.55,42.6,27.48387097,-14.12,c4,caespitose,p
BOUGRA,konza,1,grazed,43.5,2.221,341.6923077,NA,23.3,86.2962963,4.165557342,NA,NA,NA,NA,c4,caespitose,p
BOUGRA,konza,1,grazed,34.5,0.923,48.32460733,0.52972973,NA,NA,NA,1.07,43.28,40.44859813,-13.87,c4,caespitose,p
BOUGRA,konza,1,grazed,37,1.67,91.2568306,0.515957447,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
BOUGRA,konza,1,grazed,41,1.03,52.02020202,0.53894081,NA,NA,NA,0.97,41.33,42.60824742,-13.81,c4,caespitose,p
BOUGRA,konza,1,grazed,54,2.471,119.9514563,0.427807487,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
BOUGRA,konza,1,grazed,47,1.955,103.9893617,0.473214286,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
BROINE,konza,1,ungrazed,83,10.5895,142.3212639,NA,50.8,188.1481481,13.413913,NA,NA,NA,NA,c3,rhizomatous,p
BROINE,konza,1,ungrazed,81,9.5655,157.4608548,NA,50,185.1851852,13.09959866,NA,NA,NA,NA,c3,rhizomatous,p
BROINE,konza,1,ungrazed,101,8.079,140.8367999,NA,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROINE,konza,1,ungrazed,115,7.5775,129.9261234,NA,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROINE,konza,1,ungrazed,128,15.1545,112.3139752,NA,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROINE,konza,20,ungrazed,99,9.6115,103.6638054,NA,55.4,205.1851852,15.31167638,1.33,41,30.82706767,-27.49,c3,rhizomatous,p
BROINE,konza,20,ungrazed,100,6.5935,110.1507796,NA,44.3,164.0740741,10.92050332,1.65,41.54,25.17575758,-27.66,c3,rhizomatous,p
BROINE,konza,20,ungrazed,106,8.1855,97.13108494,NA,49,181.4814815,12.73546298,1.74,38.59,22.17816092,-28.87,c3,rhizomatous,p
BROINE,konza,20,ungrazed,85.5,3.5185,138.3831666,NA,NA,NA,NA,1.87,43.17,23.0855615,-28.04,c3,rhizomatous,p
BROINE,konza,20,ungrazed,96,9.5805,113.0443703,NA,NA,NA,NA,1.54,41.27,26.7987013,-28.29,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,31,1.709,305.1785714,0.366459627,NA,NA,NA,1.79,44.68,24.96089385,-30.1,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,46,2.725,216.2698413,0.294840295,37.9,62.74834437,3.862974811,1.25,42.24,33.792,-29.95,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,44,2.59,315.8536585,0.259016393,NA,NA,NA,2.83,44.94,15.87985866,-30.14,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,54,3.914,243.1055901,0.297297297,33.86,56.05960265,3.262071621,1.28,43.04,33.625,-30.83,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,40,1.896,486.1538462,0.352941176,NA,NA,NA,1.17,41.74,35.67521368,-20.68,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,35,1.36,283.3333333,0.372222222,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,52,2.434,320.2631579,0.307317073,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,54,2.367,303.4615385,0.378378378,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,48,1.018,290.8571429,0.354166667,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
BROJAP,konza,1,ungrazed,37,1.894,245.974026,0.367816092,NA,NA,NA,NA,NA,NA,NA,c3,rhizomatous,p
PANOLI,konza,1,ungrazed,26.4,3.84,163.1825602,0.360175695,35.1,130,7.704719669,NA,NA,NA,NA,c3,caespitose,p
PANOLI,konza,1,ungrazed,29.8,3.5125,157.4881352,0.336483932,41.3,152.962963,9.832791601,NA,NA,NA,NA,c3,caespitose,p
PANOLI,konza,1,ungrazed,29,3.366,253.3370429,0.332749562,37.2,137.7777778,8.404134838,NA,NA,NA,NA,c3,caespitose,p
PANOLI,konza,1,ungrazed,50,2.9775,226.9498797,0.314907873,36.7,135.9259259,8.244576524,NA,NA,NA,NA,c3,caespitose,p
PANOLI,konza,1,ungrazed,25,3.249,167.8210383,0.341568206,36.4,134.8148148,8.142913003,NA,NA,NA,NA,c3,caespitose,p
PANOLI,konza,1,ungrazed,30.3,3.7095,271.8983986,0.274669379,NA,NA,NA,1.3,40.8,31.38461538,-29.3,c3,caespitose,p
PANOLI,konza,1,grazed,36.6,2.46,204.9635391,0.295019157,NA,NA,NA,1.3,41.5,31.92307692,-28.4,c3,caespitose,p
PANOLI,konza,1,grazed,41.2,1.774,228.5526316,0.314159292,NA,NA,NA,1.7,40.9,24.05882353,-27.7,c3,caespitose,p
PANOLI,konza,1,grazed,30,1.7235,263.1330014,0.315899582,NA,NA,NA,2,43.2,21.6,-28.3,c3,caespitose,p
PANOLI,konza,1,grazed,26.8,1.6645,283.1114834,0.284064665,NA,NA,NA,1.9,42.6,22.42105263,-28.8,c3,caespitose,p
PANOLI,konza,20,grazed,48,4.0185,202.6329535,0.34676007,40,148.1481481,9.369799427,1.4,40.2,28.71428571,-27.7,c3,caespitose,p
PANOLI,konza,20,grazed,47,3.8715,292.7125749,0.339829476,29.1,107.7777778,5.819803225,1.3,41.4,31.84615385,-28.5,c3,caespitose,p
PANOLI,konza,20,grazed,60.8,3.739,257.6541683,0.240890688,33.4,123.7037037,7.150040311,1.1,39.5,35.90909091,-28.8,c3,caespitose,p
PANOLI,konza,20,ungrazed,40,2.651,203.954386,0.28,39.7,147.037037,9.264698609,1.5,42.4,28.26666667,-28,c3,caespitose,p
PANOLI,konza,20,ungrazed,NA,4.4645,173.7761672,0.316062176,36.6,135.5555556,8.230602157,1.3,39.6,30.46153846,-27.9,c3,caespitose,p
ELYCAN,konza,1,ungrazed,72,4.645,128.3149171,0.379518072,NA,NA,NA,2.29,43.5,18.99563319,-29.14,c3,caespitose,p
ELYCAN,konza,1,ungrazed,79,5.296,139.7361478,0.399038462,NA,NA,NA,2.3,41.78,18.16521739,-29.66,c3,caespitose,p
ELYCAN,konza,1,ungrazed,56,9.657,197.0816327,0.292665726,NA,NA,NA,2.81,44.51,15.83985765,-29.66,c3,caespitose,p
ELYCAN,konza,1,ungrazed,72,3.464,140.8130081,0.377204885,NA,NA,NA,2.34,43.48,18.58119658,-28.2,c3,caespitose,p
ELYCAN,konza,1,ungrazed,63,4.495,184.9794239,0.347094801,NA,NA,NA,2.46,43.09,17.51626016,-29.86,c3,caespitose,p
ELYCAN,konza,1,ungrazed,81,4.408,174.229249,0.365190365,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYCAN,konza,1,ungrazed,78,3.22,173.1182796,0.439393939,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYCAN,konza,1,ungrazed,65,5.403,192.2775801,0.355486862,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYCAN,konza,1,ungrazed,62,2.657,233.0701754,0.36589698,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYCAN,konza,1,ungrazed,57,3.218,191.547619,0.390781563,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYSMI,konza,1,grazed,48,2.711,136.9191919,0.398387097,38.46,62.13247173,3.853215253,1.26,44.16,35.04761905,-28.9,c3,caespitose,p
ELYSMI,konza,1,grazed,43,3.434,152.6222222,0.356205853,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYSMI,konza,1,grazed,46,3.928,124.3037975,0.330890052,48.12,77.73828756,5.392763758,0.71,43.29,60.97183099,-29.75,c3,caespitose,p
ELYSMI,konza,1,grazed,51,2.99,78.68421053,0.350877193,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYSMI,konza,1,grazed,47,2.582,82.22929936,0.381386861,NA,NA,NA,0.89,41.9,47.07865169,-30.24,c3,caespitose,p
ELYSMI,konza,1,grazed,57,3.315,170.8762887,0.432989691,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYSMI,konza,1,grazed,60,4.562,150.0657895,0.358348968,44.66,72.14862682,4.841940271,0.81,42.31,52.2345679,-31.3,c3,caespitose,p
ELYSMI,konza,1,grazed,48,3.334,86.37305699,0.330754352,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ELYSMI,konza,1,grazed,48,3.101,78.90585242,0.364851958,42.41,68.51373183,4.461958554,0.75,41.78,55.70666667,-30.46,c3,caespitose,p
ELYSMI,konza,1,grazed,44,2.705,84.00621118,0.363453815,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
ERASPE,konza,1,grazed,56,7.17675,162.7491809,0.405951116,24,88.88888889,4.360206327,1.31,41.5,31.67938931,-12.85,c4,caespitose,p
ERASPE,konza,1,grazed,56,6.4305,210.4975398,0.360541045,25,92.59259259,4.633630206,0.94,41.94,44.61702128,-11.94,c4,caespitose,p
ERASPE,konza,1,grazed,68,8.375,167.9465627,0.41260745,26.7,98.88888889,5.110032805,1.09,42.18,38.69724771,-12.5,c4,caespitose,p
ERASPE,konza,1,grazed,67,12.738,174.8496929,0.389363099,25,92.59259259,4.632407685,0.81,42.86,52.91358025,-12.73,c4,caespitose,p
ERASPE,konza,1,grazed,60,9.646,155.2637944,0.401606426,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
ERASPE,konza,1,grazed,53,9.7625,138.0084966,0.389230043,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
ERASPE,konza,1,grazed,61,11.813,151.4896436,0.441395664,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
ERASPE,konza,1,grazed,50,13.584,152.4765381,0.456438356,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
ERASPE,konza,1,grazed,49,10.207,138.9838612,0.487926136,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
ERASPE,konza,20,ungrazed,40,5.294,148.6671805,0.427307206,28.2,104.4444444,5.546802014,1.07,44.09,41.20560748,-12.58,c4,caespitose,p
KOEPYR,konza,1,ungrazed,42,1.43,291.8367347,0.353846154,NA,NA,NA,2.07,42.72,20.63768116,-28.01,c3,caespitose,p
KOEPYR,konza,1,ungrazed,30,2.386,305.8974359,0.389221557,NA,NA,NA,1.56,41.78,26.78205128,-29.24,c3,caespitose,p
KOEPYR,konza,1,ungrazed,29,1.747,291.1666667,0.303921569,39.39,65.21523179,4.09519912,1.72,41.99,24.4127907,-28.99,c3,caespitose,p
KOEPYR,konza,1,ungrazed,46,2.836,308.2608696,0.335640138,NA,NA,NA,1.64,43.3,26.40243902,-28.7,c3,caespitose,p
KOEPYR,konza,1,ungrazed,39,3.079,307.9,0.372395833,34.22,56.65562914,3.314233243,1.78,42.22,23.71910112,-28.64,c3,caespitose,p
KOEPYR,konza,1,ungrazed,41,2.329,342.5,0.358974359,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
KOEPYR,konza,1,ungrazed,38,1.766,315.3571429,0.371287129,38.03,62.96357616,3.891751337,NA,NA,NA,NA,c3,caespitose,p
KOEPYR,konza,1,ungrazed,63,3.895,299.6153846,0.378078818,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
KOEPYR,konza,1,ungrazed,58,2.031,278.2191781,0.379746835,41.55,68.79139073,4.434362159,NA,NA,NA,NA,c3,caespitose,p
KOEPYR,konza,1,ungrazed,53,2.013,272.027027,0.387096774,NA,NA,NA,NA,NA,NA,NA,c3,caespitose,p
MUHRAC,konza,1,ungrazed,57,0.1505,105.5952381,0.578947368,NA,NA,NA,1,42.8,42.8,-14.4,c4,rhizomatous,p
MUHRAC,konza,1,ungrazed,54,0.1425,110.5952381,0.433333333,14.6,54.07407407,2.066312866,1.2,43.6,36.33333333,-14.9,c4,rhizomatous,p
MUHRAC,konza,2,ungrazed,48,0.095,112.202381,0.47826087,13.7,50.74074074,1.878130492,1.1,46,41.81818182,-14.4,c4,rhizomatous,p
PANVIR,konza,1,ungrazed,132,26.8,110.9000248,0.486820871,NA,NA,NA,1.49,43.66,29.30201342,-12.57,c4,rhizomatous,p
PANVIR,konza,1,ungrazed,130,31.4935,95.45242294,0.438897483,41,151.8518519,9.727514438,1.04,44.59,42.875,-12.21,c4,rhizomatous,p
PANVIR,konza,1,ungrazed,113,19.7015,111.4272581,0.433301798,31.6,117.037037,6.587112404,1.3,43.73,33.63846154,-11.58,c4,rhizomatous,p
PANVIR,konza,1,grazed,78,13.262,96.35989092,0.509166378,34.3,127.037037,7.440669634,NA,NA,NA,NA,c4,rhizomatous,p
