"FRich","m","sev.blackplots","n_trait","traits","SR"
0.110121958281941,4,"5 S 1",4,8,3
0.118920738773386,2,"5 W 3",4,9,4
0.0677504983204311,2,"1 E 1",4,9,5
0.0046940221621036,2,"1 S 1",4,9,3
0.164353042444276,2,"1 W 1",4,9,5
0.131909328953848,2,"1 W 3",4,9,6
0.0465448883348187,2,"1 E 3",4,9,4
0.105087067314669,2,"1 S 3",4,9,5
0.103458343968525,2,"4 NE 1",4,9,7
0.0672287760523376,2,"4 S 3",4,9,3
0.00674987776571423,2,"4 NE 3",4,9,4
0.0856119036120744,2,"4 NW 1",4,9,5
0.0985770973411494,2,"4 S 1",4,9,7
0.13027487450923,2,"1 NE 3",4,9,5
0.0384209809364941,2,"4 W 3",4,9,3
0.0778341738566302,2,"5 E 1",4,9,4
0.0263931739508228,2,"5 NE 3",4,9,4
0.0807090260263737,2,"5 N 1",4,9,6
0.0609658088198689,2,"5 N 3",4,9,3
0.00241949370134683,2,"1 N 1",4,9,3
0.0784581275734576,2,"4 E 3",4,9,3
0.0565934965843247,2,"4 W 1",4,9,3
0.0834448039485272,2,"5 S 1",4,9,3
0.118920738773386,3,"5 W 3",4,9,4
0.0677504983204311,3,"1 E 1",4,9,5
0.0046940221621036,3,"1 S 1",4,9,3
0.164353042444276,3,"1 W 1",4,9,5
0.131909328953848,3,"1 W 3",4,9,6
0.0465448883348187,3,"1 E 3",4,9,4
0.105087067314669,3,"1 S 3",4,9,5
0.103458343968525,3,"4 NE 1",4,9,7
0.0672287760523376,3,"4 S 3",4,9,3
0.00674987776571423,3,"4 NE 3",4,9,4
0.0856119036120744,3,"4 NW 1",4,9,5
0.0985770973411494,3,"4 S 1",4,9,7
0.13027487450923,3,"1 NE 3",4,9,5
0.0384209809364941,3,"4 W 3",4,9,3
0.0778341738566302,3,"5 E 1",4,9,4
0.0263931739508228,3,"5 NE 3",4,9,4
0.0807090260263737,3,"5 N 1",4,9,6
0.0609658088198689,3,"5 N 3",4,9,3
0.00241949370134683,3,"1 N 1",4,9,3
0.0784581275734576,3,"4 E 3",4,9,3
0.0565934965843247,3,"4 W 1",4,9,3
0.0834448039485272,3,"5 S 1",4,9,3
0.118920738773386,4,"5 W 3",4,9,4
0.0677504983204311,4,"1 E 1",4,9,5
0.0046940221621036,4,"1 S 1",4,9,3
0.164353042444276,4,"1 W 1",4,9,5
0.131909328953848,4,"1 W 3",4,9,6
0.0465448883348187,4,"1 E 3",4,9,4
